Sim	LOG10_THETA	H_1	S_1	prS_1	D_1	FS_1	Pi_1
12491	-1.74816	0.994737	844	844	0.177612	1.6355	247.989
12492	-2.05422	0.989474	583	583	-0.458324	2.07574	146.321
12493	-3.33925	0.905263	18	18	-0.0624203	-1.72676	4.98947
12494	-2.54159	0.989474	169	169	1.62785	0.242589	66.3474
12495	-1.44273	1	2125	2125	-0.136521	0.959679	579.474
12496	-3.16097	0.968421	53	53	0.790901	-0.632567	17.8684
12497	-2.69657	0.994737	203	203	-0.0430565	-1.31637	56.6263
12498	-3.88755	0.684211	13	13	-1.75174	1.62746	1.89474
12499	-2.05645	1	909	909	0.859324	0.189813	308.795
12500	-1.78691	1	1545	1545	-1.32599	0.142024	297.737
12501	-1.91759	1	1093	1093	0.810131	0.412838	367.658
12502	-1.39009	1	3471	3471	-0.792639	1.31648	793.521
12503	-2.28718	0.994737	150	150	-1.4253	-3.55996	27.7158
12504	-1.51339	1	3566	3566	1.3251	1.87291	1322.62
12505	-2.56003	0.989474	285	285	-0.536379	0.368003	69.9895
12506	-2.56201	0.994737	111	111	-1.30312	-4.69162	21.3842
12507	-2.64894	0.963158	60	60	-1.05577	-0.980055	12.5053
12508	-2.61189	0.984211	189	189	-0.599368	0.33189	45.5789
12509	-3.19943	0.968421	56	56	0.342183	-0.770956	17.1211
12510	-1.12083	1	6243	6243	0.094119	2.19859	1799.18
12511	-1.457	1	2279	2279	0.447925	1.19336	710.989
12512	-2.17497	0.989474	376	376	0.764218	1.71408	125.389
12513	-1.25418	1	2370	2370	-0.382441	1.01347	607.116
12514	-3.22805	0.921053	37	37	0.747854	2.31022	12.3947
12515	-2.26036	0.989474	793	793	0.763914	3.52298	264.311
12516	-2.59267	0.978947	203	203	-1.28382	-0.0496766	39.5316
12517	-3.47288	0.884211	22	22	-0.134025	-0.268846	5.98421
12518	-2.39185	0.968421	292	292	-1.19581	3.26587	58.6842
12519	-2.91053	0.978947	55	55	-0.841321	-4.2611	12.2737
12520	-3.78113	0.647368	10	10	-1.8123	-3.68033	1.35789
12521	-3.2747	0.936842	49	49	0.295403	-0.412247	14.8263
12522	-1.53405	1	2166	2166	0.736076	1.20394	717.689
12523	-3.0901	0.973684	80	80	-1.69543	-2.67551	13.1947
12524	-3.43298	0.815789	17	17	0.528202	0.231002	5.46842
12525	-1.1947	1	2923	2923	0.190982	1.40759	861.416
12526	-3.75021	0.626316	7	7	0.772791	2.4237	2.43684
12527	-3.29785	0.963158	37	37	0.579642	-1.13625	11.9526
12528	-1.65289	1	1777	1777	0.204571	0.845251	525.321
12529	-2.10215	0.994737	484	484	-0.107974	0.493084	132.9
12530	-2.51307	0.994737	200	200	-0.432277	-1.6113	50.5053
12531	-2.55073	0.989474	215	215	-0.653727	-0.391125	51.0684
12532	-3.88845	0.657895	3	3	0.138547	-0.276735	0.889474
12533	-3.85087	0.805263	5	5	-0.145991	-1.3894	1.34211
12534	-3.51077	0.931579	19	19	-0.938627	-3.66126	4.02632
12535	-1.35455	1	2831	2831	-0.583903	1.15439	686.895
12536	-2.05522	0.994737	878	878	0.990862	2.01535	306.042
12537	-1.13762	1	4156	4156	0.0398974	1.75295	1182.59
12538	-3.12086	0.921053	27	27	-1.04163	-2.22139	5.57368
12539	-2.49005	0.994737	166	166	0.820638	-1.34165	56.0579
12540	-3.7508	0.821053	13	13	0.5824	1.0967	4.25263
12541	-3.72487	0.726316	10	10	0.00292354	0.717841	2.82105
12542	-3.26357	0.921053	19	19	-0.723064	-1.3578	4.33158
12543	-1.21924	1	3004	3004	0.495369	1.51149	946.726
12544	-2.18632	0.994737	280	280	-0.870936	-1.07881	62.4211
12545	-3.20941	0.936842	30	30	-1.41171	-2.34216	5.41053
12546	-2.19258	0.989474	253	253	-0.295632	0.239034	66.2474
12547	-2.25502	0.984211	542	542	1.20114	4.53535	196.663
12548	-1.79584	1	1546	1546	-1.02341	0.273367	329.384
12549	-2.07164	1	777	777	-0.111201	-0.318821	213.195
12550	-3.45079	0.857895	20	20	-0.415432	-0.0446861	5.02105
12551	-3.88302	0.631579	5	5	-0.214552	-0.425284	1.31053
12552	-2.54208	0.984211	160	160	-0.762075	-0.245245	36.8
12553	-3.33565	0.915789	63	63	-0.0372624	0.138954	17.5947
12554	-2.01624	0.994737	514	514	0.18854	0.736864	151.416
12555	-2.7977	0.968421	102	102	0.413338	1.1426	31.6421
12556	-2.65651	0.978947	147	147	0.885518	0.593098	50.3053
12557	-3.1204	0.926316	68	68	0.357735	2.4828	20.8526
12558	-3.39125	0.942105	22	22	0.386271	-0.622124	6.82632
12559	-1.6488	1	1861	1861	0.154303	0.885898	543.863
12560	-2.91314	0.873684	57	57	-1.37608	0.850942	10.6
12561	-3.2811	0.952632	42	42	0.047369	-1.12859	11.9789
12562	-1.62649	1	1461	1461	0.700917	0.740158	480.674
12563	-1.35581	1	3534	3534	1.1383	1.82645	1266.4
12564	-3.36447	0.868421	16	16	-1.02749	-3.49264	3.26316
12565	-2.72466	0.984211	138	138	0.304387	0.0984608	41.7632
12566	-3.16096	0.921053	43	43	-0.683785	0.667982	10.0474
12567	-1.36033	1	3538	3538	1.92686	1.97468	1455.28
12568	-2.75485	0.994737	150	150	0.021486	-2.09499	42.5
12569	-2.77785	0.989474	84	84	-0.762813	-3.54371	19.2632
12570	-2.28528	0.994737	292	292	-0.870224	-0.979212	65.1158
12571	-3.04005	0.942105	70	70	0.213021	-0.158549	20.7632
12572	-1.85076	0.994737	723	723	-0.125428	1.22532	197.684
12573	-2.75799	0.952632	74	74	0.0307819	1.56726	21.0158
12574	-2.20676	0.984211	440	440	1.65026	4.12001	173.021
12575	-3.1865	0.926316	38	38	0.0466689	0.927214	10.8368
12576	-3.00368	0.963158	88	88	-1.21419	-1.60702	17.4526
12577	-1.74908	1	1495	1495	0.89631	0.813861	511.5
12578	-3.75194	0.784211	12	12	0.376123	1.61157	3.73684
12579	-3.91462	0.657895	4	4	0.713242	0.812558	1.40526
12580	-2.02849	1	663	663	-0.164515	-0.575825	179.532
12581	-1.07412	1	3164	3164	-0.00803948	1.44376	890.126
12582	-1.33605	0.994737	2018	2018	-0.31768	3.00182	525.721
12583	-2.92399	0.957895	105	105	0.319371	3.19129	31.8947
12584	-1.48748	0.994737	2277	2277	-1.04111	2.84398	482.489
12585	-2.71598	0.963158	98	98	-0.799974	0.891354	22.2421
12586	-2.51073	0.978947	225	225	0.836687	2.92007	76.1842
12587	-2.15965	0.994737	620	620	-0.250607	0.887478	164.289
12588	-3.47905	0.973684	48	48	-0.126041	-1.69297	13.1053
12589	-3.28795	0.926316	62	62	0.552855	1.36758	19.8579
12590	-2.68971	0.989474	133	133	-0.500302	-1.59139	32.9474
12591	-1.86564	1	951	951	0.705319	0.20826	313.2
12592	-3.32579	0.894737	31	31	0.673762	2.49977	10.2368
12593	-1.19478	1	3063	3063	-0.811414	1.16989	696.368
12594	-3.53267	0.889474	21	21	0.896968	0.390448	7.31053
12595	-3.86276	0.647368	8	8	1.81369	3.78738	3.46842
12596	-1.89915	1	804	804	0.183722	-0.170357	236.568
12597	-1.07362	1	3615	3615	-0.384802	1.48662	925.5
12598	-2.99103	0.973684	56	56	-0.576928	-2.57117	13.5316
12599	-3.68052	0.868421	34	34	1.58367	5.04893	13.4263
12600	-2.24763	0.973684	458	458	1.72811	6.22042	182.495
12601	-2.8676	0.952632	63	63	-1.01636	-0.768579	13.3105
12602	-2.12367	1	709	709	-1.86283	-1.40069	110.889
12603	-3.14993	0.968421	35	35	-0.197193	-3.05897	9.37368
12604	-2.39156	0.989474	248	248	-0.176291	0.2636	66.9421
12605	-2.98713	0.942105	39	39	0.54169	-0.177372	12.4895
12606	-1.48163	0.994737	2120	2120	-0.688453	2.9075	499.463
12607	-3.89257	0.778947	5	5	-0.260259	-1.50464	1.28947
12608	-1.04987	1	6234	6234	-0.0538008	2.16021	1734.65
12609	-3.15302	0.936842	44	44	0.0807924	-0.940004	12.6526
12610	-3.30491	0.878947	58	58	-0.697284	0.880664	13.5316
12611	-2.13583	0.994737	915	915	-1.02315	1.19956	194.9
12612	-1.14609	1	9441	9441	2.1904	3.03753	4049.97
12613	-3.36809	0.936842	37	37	0.237212	0.995692	11.0526
12614	-3.71175	0.826316	7	7	0.071158	0.710618	2.01579
12615	-3.74764	0.789474	15	15	0.756454	2.77122	5.09474
12616	-1.17218	1	3115	3115	-0.833508	1.18152	703.568
12617	-3.45746	0.863158	19	19	1.5292	2.22781	7.52105
12618	-3.85987	0.757895	8	8	-0.160806	-0.0701565	2.14737
12619	-3.71657	0.763158	16	16	0.364856	2.6555	4.95263
12620	-1.72576	1	1037	1037	-0.722665	-0.139327	241.874
12621	-1.7813	0.984211	1532	1532	2.07032	5.90473	645.095
12622	-3.75949	0.584211	15	15	-1.31531	-0.281326	2.72105
12623	-3.80268	0.7	17	17	1.76077	5.82559	7.04737
12624	-1.23805	1	4987	4987	1.3337	2.22921	1852.47
12625	-1.68149	0.994737	1142	1142	0.55627	2.33271	364.632
12626	-2.49288	0.978947	429	429	-0.865695	2.33708	95.8579
12627	-3.20555	0.910526	37	37	-1.81136	-2.15373	5.66842
12628	-1.02207	1	5836	5836	-0.653236	1.92506	1388.92
12629	-1.30471	1	2518	2518	-0.236944	1.12555	669.653
12630	-2.98512	0.968421	63	63	-0.737303	-1.32313	14.5316
12631	-3.67797	0.752632	15	15	-0.0796016	-0.669066	4.13684
12632	-3.24768	0.952632	42	42	-1.75468	-3.54881	6.63684
12633	-3.03632	0.978947	71	71	-0.750324	-1.84551	16.3263
12634	-2.09074	0.989474	1007	1007	0.667417	4.08733	329.068
12635	-1.2873	0.994737	3281	3281	0.504385	4.27124	1036.01
12636	-3.45194	0.9	31	31	-0.416889	0.61178	7.81053
12637	-3.60498	0.9	26	26	0.115865	0.496751	7.54737
12638	-3.22648	0.878947	44	44	0.850162	3.15099	15.0368
12639	-3.32873	0.910526	24	24	-0.514289	-0.336029	5.86316
12640	-2.49967	0.978947	141	141	0.0507539	0.942135	40.2316
12641	-2.44385	1	417	417	2.02088	-0.620619	174.421
12642	-1.32954	1	4434	4434	0.475984	1.92711	1391.59
12643	-1.40654	0.994737	2012	2012	-0.252183	3.02722	533.016
12644	-1.06684	1	3910	3910	-0.046663	1.6648	1089.85
12645	-3.83576	0.557895	21	21	-1.27131	2.93582	3.94737
12646	-2.92467	0.936842	89	89	0.216285	1.46096	26.4105
12647	-2.94852	0.978947	107	107	0.303389	0.31449	32.3842
12648	-2.05286	0.984211	432	432	-0.284488	2.8242	113.474
12649	-3.64121	0.884211	17	17	-0.909797	-1.10191	3.62632
12650	-3.91693	0.663158	8	8	-0.160806	0.88879	2.14737
12651	-1.03613	0.994737	7280	7280	1.48638	6.17588	2778.79
12652	-1.05222	0.994737	4881	4881	-0.202627	4.71793	1309.37
12653	-2.79862	0.968421	147	147	-0.0565438	1.9724	40.8684
12654	-1.03632	1	6826	6826	0.962974	2.48416	2365.54
12655	-1.75657	0.989474	1120	1120	0.756623	4.41451	372.705
12656	-3.48625	0.768421	11	11	-1.18063	-1.10106	2.06842
12657	-3.41583	0.815789	12	12	0.934689	1.10486	4.26316
12658	-1.20985	1	5319	5319	1.09441	2.25038	1890.28
12659	-1.20723	0.994737	4795	4795	2.16522	5.582	2048.99
12660	-1.42948	0.994737	2983	2983	0.465786	4.07519	934.179
12661	-2.59423	0.978947	137	137	-1.37754	-1.2907	25.7421
12662	-1.83224	0.994737	695	695	-1.13563	0.627063	142.737
12663	-1.64889	0.994737	1670	1670	-0.316046	2.65518	435.237
12664	-1.54892	0.994737	1546	1546	-0.370378	2.48862	397.268
12665	-1.26382	1	3899	3899	2.02928	2.09504	1630.57
12666	-1.73365	1	1235	1235	1.42822	0.705046	466.753
12667	-2.2264	0.994737	411	411	0.166902	0.306504	120.479
12668	-1.32875	1	3289	3289	0.0582762	1.50361	939.947
12669	-2.04433	0.994737	473	473	-0.262213	0.376282	124.958
12670	-1.40328	1	2237	2237	0.718918	1.23629	738.632
12671	-1.8092	0.994737	1313	1313	-0.470123	2.14392	328.579
12672	-1.54565	1	1261	1261	-0.135657	0.328607	343.932
12673	-1.0302	1	5723	5723	1.40114	2.38569	2151.76
12674	-2.13517	0.994737	455	455	1.81072	1.09322	183.837
12675	-3.39186	0.863158	29	29	-1.99467	0.0507331	4.00526
12676	-3.63124	0.905263	15	15	-1.23722	-1.98567	2.81053
12677	-1.43324	1	2072	2072	-0.384612	0.856698	530.468
12678	-2.29906	0.994737	573	573	-0.0973202	0.812693	157.753
12679	-1.02868	1	3402	3402	-0.328419	1.43597	883.853
12680	-1.53774	1	1935	1935	-0.303773	0.800874	505.905
12681	-3.98838	0.394737	3	3	1.06948	3.43276	1.18421
12682	-2.18915	0.994737	266	266	-0.554345	-0.983556	64.9947
12683	-2.19643	0.994737	578	578	0.819803	1.19917	194.858
12684	-2.78393	0.973684	96	96	-0.91279	-0.981246	21.0421
12685	-1.33048	1	2126	2126	0.0335387	1.00764	604.047
12686	-3.57539	0.742105	15	15	2.11619	5.48414	6.65263
12687	-3.81506	0.673684	9	9	0.371029	0.706649	2.81053
12688	-3.22493	0.973684	36	36	-1.39334	-4.86946	6.57895
12689	-3.96045	0.847368	7	7	-0.0867094	-1.32696	1.92105
12690	-3.95552	0.678947	5	5	0.985267	0.49422	1.86316
12691	-2.16818	0.989474	376	376	-0.78381	0.847058	86.0789
12692	-2.20075	0.989474	411	411	0.115303	1.59357	119.047
12693	-2.20538	1	386	386	-1.73437	-2.65392	63.5947
12694	-3.54715	0.910526	19	19	0.272988	-0.404712	5.74211
12695	-2.2976	0.994737	437	437	-0.165558	0.27135	118.295
12696	-1.33035	0.994737	1747	1747	0.0196734	2.89003	494.737
12697	-3.63837	0.873684	16	16	0.564382	0.885497	5.19474
12698	-1.1206	1	7736	7736	0.127794	2.43073	2246.94
12699	-2.04484	1	496	496	-0.0628394	-1.00768	137.705
12700	-2.75467	0.968421	81	81	-1.89986	-1.95498	12.2211
12701	-2.57053	0.963158	168	168	0.411164	1.70561	52.0526
12702	-1.73841	0.994737	606	606	-0.618432	0.663558	145.558
12703	-2.68781	0.978947	251	251	2.28555	2.72265	109.605
12704	-3.70197	0.868421	13	13	-0.381476	-2.39104	3.27895
12705	-1.51779	0.994737	3480	3480	-0.572263	3.89056	847.105
12706	-3.75267	0.626316	4	4	-0.665157	-0.330961	0.868421
12707	-3.26058	0.789474	16	16	-1.19665	-1.68451	3.05789
12708	-3.354	0.894737	36	36	1.32146	2.68005	13.5316
12709	-1.4291	1	3317	3317	2.37047	1.98049	1463.26
12710	-1.93999	1	1065	1065	1.40757	0.52085	401.053
12711	-1.5815	1	1927	1927	-0.880188	0.603694	429.147
12712	-3.68157	0.894737	13	13	0.353154	-0.76146	4.02105
12713	-1.10834	0.994737	5908	5908	0.133619	5.24099	1718.31
12714	-2.77489	0.973684	115	115	0.294418	0.516668	34.7316
12715	-2.88567	0.915789	50	50	-0.985492	0.86459	10.6421
12716	-1.98953	0.989474	709	709	0.587157	3.14976	227.884
12717	-2.59129	0.978947	179	179	-1.02113	-0.154951	38.0316
12718	-2.59639	0.989474	95	95	0.187335	-2.11151	28
12719	-1.73016	1	1424	1424	1.03125	0.787308	500.137
12720	-2.22547	0.994737	479	479	0.704045	0.812816	157.763
12721	-1.23709	1	4929	4929	0.904828	2.1321	1688.93
12722	-3.22582	0.957895	41	41	-1.31662	-3.98393	7.74211
12723	-2.1209	0.994737	787	787	-0.978921	0.949746	169.958
12724	-3.92653	0.436842	3	3	-1.1581	-1.6626	0.478947
12725	-2.61607	0.968421	176	176	0.657766	0.945058	57.4789
12726	-3.52102	0.957895	22	22	-0.348647	-4.39049	5.63684
12727	-2.08651	0.994737	740	740	-0.821016	0.924871	167.668
12728	-2.34916	0.984211	215	215	-0.706418	0.592822	50.3
12729	-1.43481	1	3223	3223	-0.0982006	1.44013	887.2
12730	-3.4464	0.894737	18	18	0.265408	1.03508	5.43158
12731	-2.91034	0.947368	28	28	-1.1307	-4.42102	5.60526
12732	-2.62829	0.973684	135	135	0.462267	1.08908	42.3105
12733	-1.39579	1	3225	3225	1.07995	1.7163	1143.04
12734	-1.63705	1	1603	1603	1.04208	0.92859	564.153
12735	-1.71444	0.994737	954	954	-0.93114	1.32732	209.121
12736	-1.45376	1	2451	2451	0.691709	1.3322	804.8
12737	-1.84867	1	980	980	0.410672	0.166407	303.316
12738	-1.37951	1	2864	2864	0.166519	1.37883	839.321
12739	-1.72525	1	1783	1783	2.23508	1.2836	770.484
12740	-3.64262	0.805263	11	11	-0.446152	0.598903	2.71053
12741	-1.11448	1	5109	5109	1.97053	2.36839	2116.34
12742	-3.32586	0.884211	54	54	1.94144	3.9422	22.5421
12743	-1.67409	1	1029	1029	0.112856	0.142559	297.858
12744	-2.47839	0.994737	178	178	0.24455	-1.47831	53.1316
12745	-2.92686	0.978947	105	105	-0.920227	-0.7048	22.9737
12746	-1.66826	1	1427	1427	0.664439	0.703086	465.989
12747	-2.65098	0.963158	103	103	-1.18059	-0.168813	20.6947
12748	-1.37133	1	2602	2602	-0.594791	1.05488	629.421
12749	-3.23374	0.931579	25	25	0.512007	-0.101718	7.97895
12750	-2.01756	1	433	433	1.32773	-0.749021	160.847
12751	-1.79335	1	1096	1096	-1.3417	-0.340825	209.995
12752	-3.00397	0.947368	53	53	0.238125	-1.96115	15.8211
12753	-3.45684	0.963158	31	31	-0.452377	-2.83818	7.73158
12754	-3.94671	0.594737	5	5	-0.774468	0.110292	1.05263
12755	-2.49615	0.989474	340	340	-1.03005	0.439548	72.1684
12756	-3.98545	0.905263	18	18	0.702512	-0.248682	6.02105
12757	-3.4889	0.905263	30	30	1.20114	2.829	11.0474
12758	-3.71425	0.773684	7	7	0.0886988	-1.16359	2.02632
12759	-2.68558	0.984211	139	139	-0.392059	-0.34762	35.4632
12760	-3.32136	0.978947	30	30	-0.789606	-6.2183	6.75263
12761	-1.43652	1	1833	1833	-0.770987	0.582269	421.663
12762	-3.84594	0.515789	7	7	-1.97235	-3.01269	0.789474
12763	-1.04206	1	9195	9195	1.8037	2.94664	3705.65
12764	-3.77854	0.842105	10	10	0.642822	0.330827	3.33684
12765	-2.91184	0.963158	76	76	0.129151	-0.825706	22.1
12766	-2.36221	0.989474	313	313	-1.30456	0.0280347	60.6158
12767	-3.01517	0.968421	64	64	-0.654549	-1.18332	15.1316
12768	-2.65904	0.994737	158	158	-0.81215	-2.63154	35.8
12769	-1.87022	0.994737	850	850	0.473703	1.76677	266.695
12770	-2.78892	0.978947	172	172	0.546522	1.8668	54.8737
12771	-2.96739	0.947368	70	70	-0.105206	0.421314	19.2211
12772	-3.57723	0.873684	21	21	1.12431	2.30323	7.66316
12773	-2.48961	0.978947	209	209	1.01175	1.5927	73.2579
12774	-1.02072	1	4887	4887	-0.305824	1.83546	1277.1
12775	-1.34801	1	2131	2131	0.746699	1.18799	707.616
12776	-2.67604	0.989474	125	125	-0.729954	-1.99487	29
12777	-2.9453	0.952632	55	55	0.0856526	-0.199608	15.8316
12778	-2.44977	0.989474	194	194	-0.707858	-0.694052	45.3579
12779	-1.40002	1	4558	4558	-1.83641	1.21141	722.468
12780	-2.31254	0.994737	312	312	-0.875478	-0.830231	69.4737
12781	-2.29167	0.978947	300	300	0.291921	2.17429	90.4842
12782	-1.79442	0.994737	1033	1033	0.718542	2.21175	341.116
12783	-2.7288	0.957895	96	96	-0.205425	1.36953	25.7053
12784	-2.95899	0.963158	69	69	-0.478334	-1.66597	17.1632
12785	-3.03066	0.947368	35	35	-0.89367	-2.893	7.63684
12786	-3.02296	0.931579	96	96	0.584972	2.00917	30.9158
12787	-1.89021	0.994737	716	716	1.31051	1.75537	265.016
12788	-1.26517	1	3723	3723	1.15804	1.88609	1339.06
12789	-1.83461	1	877	877	1.16794	0.220423	316.147
12790	-3.45268	0.968421	25	25	-0.0632514	-4.57519	6.93158
12791	-1.63854	1	2060	2060	-0.0681442	0.943041	571.216
12792	-3.56455	0.863158	7	7	-0.718179	-3.16738	1.54211
12793	-3.92595	0.436842	9	9	-0.956038	1.52885	1.83158
12794	-1.34748	0.994737	3129	3129	0.467197	4.1662	980.195
12795	-1.21763	1	3298	3298	0.321287	1.57219	1000.8
12796	-3.61927	0.836842	9	9	-1.04879	-2.65533	1.76316
12797	-3.77493	0.905263	12	12	0.202968	-1.15073	3.57368
12798	-3.60744	0.836842	30	30	1.31092	4.08725	11.2842
12799	-3.34997	0.915789	15	15	-0.787033	-3.40399	3.32632
12800	-3.72049	0.805263	26	26	0.698476	2.81219	8.64737
12801	-1.05373	0.994737	3141	3141	-0.0866592	3.93443	867.063
12802	-2.29584	0.994737	338	338	-0.454065	-0.393232	84.9
12803	-2.69423	0.968421	71	71	-0.892799	-1.07395	15.6263
12804	-2.7921	0.978947	130	130	0.108411	-0.185794	37.6053
12805	-3.874	0.636842	9	9	-0.492278	-0.0358868	2.17368
12806	-3.30396	0.947368	36	36	-0.0349124	-0.903583	10.0579
12807	-3.8399	0.768421	5	5	0.893852	0.432388	1.82105
12808	-2.25931	0.989474	294	294	-1.26769	-0.0924528	57.6579
12809	-2.36619	0.978947	628	628	0.188354	4.3356	184.984
12810	-1.2583	1	3814	3814	-0.327013	1.56174	991.258
12811	-1.39531	1	2728	2728	0.00595293	1.28294	770.032
12812	-3.78276	0.736842	7	7	-0.621704	-0.891685	1.6
12813	-2.77218	0.978947	75	75	-0.610071	-2.54747	17.9789
12814	-3.64123	0.847368	24	24	2.04927	4.96768	10.3579
12815	-2.29437	0.994737	725	725	0.413858	1.45625	224.563
12816	-1.28777	1	4288	4288	-1.58527	1.25642	752
12817	-1.17199	0.994737	5243	5243	0.114771	5.00222	1518.26
12818	-2.08666	0.994737	202	202	-0.809661	-1.87688	45.8368
12819	-3.8811	0.863158	12	12	0.834147	0.17602	4.16842
12820	-3.77395	0.863158	15	15	-0.0887891	0.997869	4.12632
12821	-2.8549	0.957895	56	56	-0.699566	-0.834402	13.0526
12822	-2.89112	0.984211	78	78	-0.528247	-2.30714	19.1421
12823	-2.51845	0.989474	223	223	-0.179197	0.00943757	60.1474
12824	-2.58421	0.984211	255	255	-0.408569	0.18765	64.8211
12825	-2.19084	1	503	503	-1.18964	-1.57553	101.426
12826	-2.3891	0.973684	171	171	0.7106	3.11996	56.4632
12827	-2.29426	0.989474	412	412	1.69229	2.33495	163.195
12828	-3.12197	0.952632	45	45	0.483763	-0.550011	14.2158
12829	-3.80273	0.742105	9	9	-1.64098	-3.77815	1.32632
12830	-2.87074	0.973684	62	62	-0.928915	-2.58879	13.4737
12831	-3.07393	0.952632	39	39	-0.128883	-1.55357	10.6368
12832	-2.13809	1	889	889	-1.14136	-0.552421	182.284
12833	-3.37379	0.957895	41	41	-0.749834	-2.02987	9.38421
12834	-3.35947	0.705263	23	23	-1.69131	-1.09707	3.63158
12835	-1.88032	1	891	891	-1.20463	-0.581265	178.9
12836	-2.34048	0.968421	444	444	0.512876	7.08988	140.516
12837	-3.64056	0.905263	19	19	-0.221322	-0.836832	5.04211
12838	-3.30937	0.752632	16	16	-1.05351	-1.49227	3.23158
12839	-2.07609	0.994737	472	472	-0.163659	0.419519	127.832
12840	-1.49896	1	1351	1351	0.184604	0.510127	397.579
12841	-3.24551	0.968421	37	37	-0.00909818	-1.63497	10.4053
12842	-3.06207	0.968421	80	80	1.15188	1.77151	28.9053
12843	-3.23621	0.915789	22	22	-0.966498	-2.00491	4.63684
12844	-2.78448	0.963158	99	99	-0.653824	0.218704	23.4632
12845	-2.85021	0.952632	116	116	-0.352453	2.91912	29.9
12846	-1.02847	1	4990	4990	0.669696	2.09532	1631.01
12847	-3.28545	0.878947	40	40	-0.0784993	1.85414	11.0526
12848	-2.66076	0.978947	157	157	0.25695	1.39893	47
12849	-3.87551	0.842105	7	7	0.562301	0.136794	2.31053
12850	-1.20979	1	3025	3025	0.222283	1.45326	897.837
12851	-3.17282	0.968421	60	60	0.82171	-0.222343	20.3421
12852	-3.65505	0.694737	17	17	0.844562	2.25451	5.87368
12853	-2.3137	0.989474	253	253	-1.53993	-0.719048	44.9263
12854	-3.35509	0.826316	27	27	-1.16544	0.148894	5.33158
12855	-3.17413	0.968421	32	32	-0.187769	-3.46682	8.58947
12856	-2.34667	0.994737	510	510	-1.54677	-0.259144	90.5579
12857	-2.22162	1	382	382	0.142593	-1.39272	111.353
12858	-3.27781	0.894737	28	28	-0.274633	1.21934	7.33684
12859	-3.34087	0.894737	26	26	0.489405	0.798579	8.25263
12860	-2.21199	1	430	430	-0.538244	-1.49575	105.584
12861	-3.91236	0.415789	3	3	-0.975242	-0.0787516	0.536842
12862	-1.11095	0.994737	6844	6844	0.848455	5.8229	2319.14
12863	-2.83757	0.968421	80	80	-0.828362	-0.612745	17.9789
12864	-2.55714	0.984211	216	216	1.08064	1.71798	76.7158
12865	-2.3854	0.994737	598	598	2.12615	1.68045	254.242
12866	-3.62306	0.910526	19	19	0.510851	0.577727	6.07895
12867	-3.19828	0.921053	43	43	-0.614343	-0.0457422	10.2579
12868	-1.29435	1	3024	3024	0.779893	1.58307	1010.84
12869	-2.34777	0.989474	185	185	-0.774138	-0.871423	42.4158
12870	-3.71028	0.736842	19	19	2.36544	7.18909	8.70526
12871	-3.32057	0.926316	28	28	-0.0560638	-0.979107	7.77895
12872	-3.08726	0.952632	25	25	-0.294511	-3.64333	6.51053
12873	-2.38642	0.989474	329	329	0.147052	1.09782	96.0053
12874	-3.44941	0.952632	37	37	-0.77406	-1.54825	8.39474
12875	-3.92599	0.357895	2	2	-0.768572	-0.723684	0.378947
12876	-3.08557	0.931579	30	30	-0.272402	-0.147973	7.86842
12877	-1.80662	0.994737	932	932	0.470592	1.93183	292.221
12878	-3.91724	0.757895	5	5	-0.900163	-2.27769	0.994737
12879	-2.01352	1	935	935	0.393839	0.0995915	288.332
12880	-3.25547	0.936842	32	32	0.227876	-0.285931	9.54211
12881	-1.47195	1	2357	2357	0.0133012	1.12015	666.474
12882	-3.5959	0.9	18	18	-0.249751	-1.04837	4.73684
12883	-2.13996	0.989474	373	373	-1.06153	0.631521	78.3947
12884	-1.41623	1	3969	3969	0.881686	1.8978	1353.84
12885	-3.18553	0.9	40	40	1.44651	3.2522	15.3684
12886	-1.06416	1	4346	4346	0.832367	1.98393	1468.02
12887	-3.44854	0.926316	34	34	-1.48336	-1.94012	5.98421
12888	-3.6455	0.915789	20	20	-0.355124	-1.63777	5.11053
12889	-3.36082	0.921053	25	25	-0.332091	-0.026787	6.44211
12890	-2.42278	0.989474	249	249	-0.282172	0.209615	65.4263
12891	-1.11517	0.994737	5397	5397	2.14381	5.80544	2298.44
12892	-1.83527	1	634	634	-0.401663	-0.742032	161.547
12893	-1.01771	1	4040	4040	-0.456563	1.58736	1014.84
12894	-3.17402	0.931579	54	54	-0.855538	-1.124	11.9947
12895	-2.89847	0.968421	71	71	-0.888514	-1.0694	15.6474
12896	-3.3258	0.957895	24	24	-0.223112	-2.64675	6.37368
12897	-3.30458	0.942105	27	27	-0.304128	-2.24465	7.01579
12898	-3.65849	0.947368	21	21	-1.02699	-3.31933	4.32632
12899	-3.96141	0.705263	7	7	-0.577852	-0.846013	1.62632
12900	-1.47363	0.994737	1506	1506	-0.22843	2.5073	401.363
12901	-1.50021	0.994737	4407	4407	0.724072	4.9224	1456.56
12902	-3.52266	0.873684	10	10	-1.27687	-5.17708	1.78947
12903	-1.41691	1	1839	1839	-0.492275	0.681024	457.5
12904	-2.9495	0.968421	52	52	0.137677	-1.17738	15.1579
12905	-3.70243	0.878947	17	17	0.441922	0.164826	5.35789
12906	-2.22889	0.989474	522	522	-0.0904422	2.03725	143.953
12907	-1.71815	1	1378	1378	-0.810667	0.208632	313.289
