Sim	LOG10_THETA_NOW	LOG10_OLD_SIZE_RELATIVE	LOG10_T_BOT	H_1	S_1	prS_1	D_1	FS_1	Pi_1
1111	-1.29003	0.681674	1.67694	1	12000	12000	0.8906	3.05012	4100.15
1112	-2.90874	1.97169	1.38018	1	6536	6536	0.137992	2.25734	1902.88
1113	-2.85141	0.853781	1.57039	1	589	589	-0.354542	-0.841802	151.947
1114	-2.22407	-0.353643	2.29445	1	190	190	-0.358292	-3.41817	48.9316
1115	-1.67696	-1.42822	1.61953	1	75	75	-0.0859708	-7.17772	20.6947
1116	-2.24918	-0.271434	2.23977	1	234	234	-0.319232	-2.77122	60.8947
1117	-2.5559	-1.24072	1.08228	0.952632	12	12	-0.154515	-9.85235	3.23684
1118	-3.51265	-0.14858	2.48433	0.978947	14	14	-0.101422	-12.8391	3.83684
1119	-2.10857	0.972946	1.08758	1	4837	4837	-0.330499	1.81763	1256.02
1120	-1.11785	0.399404	2.73922	1	9191	9191	0.783626	2.75495	3074.37
1121	-2.41332	-1.7198	2.13387	0.831579	4	4	0.686214	-4.96666	1.39474
1122	-1.31894	0.164155	2.17057	1	3871	3871	0.747726	1.84254	1285.57
1123	-1.33578	0.534579	1.74181	1	7506	7506	0.266831	2.43225	2250.23
1124	-1.37121	1.33666	1.32231	1	18161	18161	2.32079	3.72268	7949.36
1125	-1.06742	0.380926	1.63993	1	8923	8923	0.59849	2.68545	2873.78
1126	-1.59349	0.360953	2.0265	1	2440	2440	0.34546	1.24504	744.411
1127	-1.46058	-1.13943	1.05008	1	153	153	-0.537396	-4.34802	37.5263
1128	-1.01786	-1.57525	1.37812	1	472	472	-1.56789	-1.99835	83.1211
1129	-1.43618	0.704475	1.42541	1	9563	9563	0.583585	2.75359	3070.33
1130	-2.30112	1.14288	1.64042	1	3342	3342	0.421518	1.61051	1036.66
1131	-1.00309	-0.216357	2.68497	1	5025	5025	0.312953	2.02223	1522.03
1132	-2.89963	-1.39229	1.23445	0.915789	11	11	-1.04819	-5.57024	2.18421
1133	-1.51881	1.31458	2.87135	1	16708	16708	1.52939	3.5072	6425.44
1134	-1.84476	1.05368	1.67967	1	7987	7987	1.27355	2.70699	2934.46
1135	-1.10102	1.56326	2.36197	1	15429	15429	1.78687	3.47104	6200.38
1136	-2.30782	1.19826	2.13573	1	4402	4402	0.264618	1.87002	1319.04
1137	-3.34043	1.69997	1.06756	1	1507	1507	0.000533618	0.591394	424.832
1138	-1.20625	-1.96309	2.72061	1	194	194	-2.16416	-5.92287	26.1737
1139	-3.49054	-0.0347225	2.73299	1	21	21	0.316725	-16.6747	6.41053
1140	-2.31385	0.999327	2.01328	1	2880	2880	0.7256	1.51781	952.205
1141	-1.22144	-1.4631	1.62613	1	1388	1388	-1.5545	-0.115057	246.132
1142	-1.84847	-0.442024	1.57348	1	357	357	-0.407907	-1.80491	90.7895
1143	-1.8872	-0.849159	2.06503	1	342	342	-1.17622	-2.43435	69.2158
1144	-3.39145	-0.756078	1.27733	0.705263	4	4	-0.557047	-2.55329	0.910526
1145	-3.93064	-0.59534	2.00059	0.426316	3	3	-0.626144	0.28611	0.647368
1146	-2.13897	-0.530435	1.64085	1	157	157	0.263844	-3.54322	47.0737
1147	-1.22638	1.2058	1.8107	1	18866	18866	2.59744	3.80318	8608.44
1148	-2.19569	1.80136	2.35917	1	4508	4508	0.9714	2.05159	1564.84
1149	-2.67501	-0.426906	1.06309	1	56	56	-0.144326	-9.12651	15.2211
1150	-3.38773	-0.972465	1.16238	0.7	3	3	0.37128	-1.21096	0.963158
1151	-2.74725	0.730455	1.86191	1	444	444	0.495484	-0.97938	139.995
1152	-3.90572	-0.0283545	2.69879	0.989474	10	10	1.21089	-15.6416	3.79474
1153	-1.54009	-1.73982	1.3134	1	45	45	-0.506986	-11.5368	11.0789
1154	-1.98944	0.225202	1.4932	1	1305	1305	0.829334	0.635722	440.632
1155	-2.11735	1.67916	2.37127	1	12756	12756	1.00295	3.13478	4454.69
1156	-2.51452	-1.88057	2.24615	0.768421	5	5	-0.591638	-3.07119	1.13684
1157	-1.54651	1.39961	2.54379	1	6077	6077	1.60922	2.48602	2369.78
1158	-3.69244	0.58302	1.34745	1	54	54	-0.0920913	-9.28785	14.8737
1159	-1.35569	-0.259	1.92729	1	1908	1908	-0.0188504	0.867524	535.389
1160	-3.36964	1.05649	2.35588	1	426	426	0.197607	-1.16736	125.758
1161	-3.60436	-0.0577569	2.83161	0.989474	13	13	0.488618	-14.685	4.15789
1162	-2.29297	0.598907	2.63717	1	896	896	0.167079	-0.0258941	262.632
1163	-1.48728	-1.27344	1.86439	1	307	307	-1.64618	-3.2075	52.3579
1164	-2.31071	-0.258264	1.48772	1	242	242	-0.362521	-2.71048	62.2684
1165	-2.97354	1.98282	2.13557	1	1954	1954	0.0149097	0.904779	552.732
1166	-1.24359	-1.65891	1.28406	1	87	87	0.213323	-5.9942	25.8
1167	-2.19997	0.684552	2.50877	1	2433	2433	0.217631	1.2097	721.374
1168	-3.65005	0.387496	2.61793	1	26	26	0.659449	-13.788	8.57368
1169	-2.07625	0.0159782	1.12593	1	665	665	0.438425	-0.361231	207.084
1170	-3.51767	-1.24943	2.14794	0.189474	1	1	-0.59155	-0.0965971	0.189474
1171	-1.8341	1.10476	2.06947	1	9116	9116	0.888929	2.76804	3113.76
1172	-3.21024	-1.64619	2.47881	0.336842	1	1	0.351953	0.720808	0.336842
1173	-3.9422	1.17003	1.91147	1	124	124	-0.324167	-4.96848	32.2053
1174	-2.30476	-1.67574	1.64583	0.994737	25	25	-0.355216	-13.2683	6.4
1175	-1.95587	-0.352766	2.01209	1	395	395	-0.579864	-1.69031	95.8737
1176	-3.80294	0.523778	1.5272	1	21	21	-0.165114	-18.0114	5.66316
1177	-2.17844	0.624028	1.05672	1	2113	2113	0.290974	1.06843	636.916
1178	-1.56528	-1.37838	2.2055	1	82	82	-1.7316	-10.085	13.3263
1179	-3.86779	1.1011	1.92613	1	92	92	0.643299	-5.27968	30
1180	-3.2617	-1.75614	1.55418	0.1	1	1	-1.16439	-0.879302	0.1
1181	-3.81687	-0.629703	2.22121	0	0	0	0	0	0
1182	-3.20755	-1.28792	1.7553	0.789474	4	4	0.294316	-2.75526	1.24211
1183	-1.04965	-0.372171	1.26483	1	2844	2844	-0.0691833	1.30929	788.416
1184	-3.56962	-0.325738	1.23843	0.942105	6	6	0.710784	-9.42321	2.06842
1185	-1.77251	1.03785	2.60038	1	7660	7660	1.16452	2.64312	2758.24
1186	-2.23458	0.713755	2.48435	1	1537	1537	0.40138	0.725278	474.716
1187	-2.10463	-1.54735	2.90895	1	511	511	-0.489638	-1.14744	127.163
1188	-3.48959	-1.42041	1.60746	0.768421	6	6	-1.27274	-3.48745	1.01579
1189	-1.26558	-1.60364	2.86654	1	1834	1834	-1.0479	0.479177	387.753
1190	-2.3463	1.38014	1.97594	1	1862	1862	1.53046	1.20193	716.411
1191	-2.04226	-0.9244	1.02277	1	109	109	-1.16716	-6.8295	22.0105
1192	-3.96284	1.69724	1.60379	1	425	425	0.164593	-1.18524	124.516
1193	-1.98674	-0.600386	1.58325	1	184	184	-0.307393	-3.47843	48.0211
1194	-2.55744	-1.47122	2.51463	0.973684	10	10	0.544878	-11.9787	3.25789
1195	-1.40578	0.0460574	1.66176	1	2741	2741	-0.00199665	1.28614	772.237
1196	-2.94717	0.130451	1.99096	1	81	81	0.219605	-6.35101	24.0579
1197	-2.63098	1.45406	1.26415	1	3689	3689	0.10078	1.63959	1064.79
1198	-2.27681	-1.22037	1.88121	1	28	28	-0.745597	-16.718	6.38421
1199	-1.59331	-0.198861	1.5937	1	1351	1351	-0.286277	0.368024	354.795
1200	-1.13016	0.43993	2.74895	1	10189	10189	0.96589	2.89773	3532.91
1201	-3.54534	-0.22815	2.67851	0.994737	17	17	0.454248	-15.0033	5.37368
1202	-1.51618	1.08446	1.83199	1	6724	6724	1.99392	2.65708	2795.8
1203	-1.46035	-1.72098	1.83832	1	39	39	0.122582	-11.352	11.3316
1204	-2.5907	-0.827751	1.42395	1	53	53	-0.814851	-10.9441	11.9211
1205	-2.85861	0.244395	2.43107	1	196	196	-0.113439	-3.12917	53.7368
1206	-1.71602	0.767642	2.59322	1	3239	3239	0.65867	1.63092	1056.32
1207	-2.17771	1.39465	2.28319	1	7305	7305	0.85824	2.53321	2480.14
1208	-3.83757	1.9448	1.89749	1	455	455	0.908562	-0.797138	156.142
1209	-3.42059	-0.955496	2.86357	0.873684	7	7	-0.52523	-7.24201	1.65789
1210	-2.00773	-1.19032	1.48873	1	69	69	-0.365995	-8.12396	17.7
1211	-1.46859	0.283911	2.71772	1	4199	4199	0.727894	1.92505	1388.9
1212	-1.18211	0.99477	1.01123	1	16147	16147	1.84506	3.52697	6551.99
1213	-2.82085	-0.207248	1.63003	1	89	89	0.105385	-6.00745	25.7316
1214	-1.77335	1.55309	2.40561	1	16537	16537	1.67403	3.52206	6520.32
1215	-1.35898	0.312518	2.79231	1	4307	4307	0.228427	1.83798	1280.11
1216	-2.95915	-1.14571	2.20437	0.794737	9	9	-1.53395	-6.52462	1.40526
1217	-3.90694	1.39272	2.22181	1	226	226	-0.0874151	-2.70638	62.3632
1218	-3.38466	-0.146865	1.74969	0.978947	14	14	0.176873	-12.125	4.13684
1219	-1.37389	-0.930604	1.89262	1	473	473	-0.975964	-1.56062	102.184
1220	-2.84279	1.63336	2.80925	1	1304	1304	1.17872	0.715727	470.937
1221	-2.81174	-1.74613	1.31598	0.963158	20	20	-1.7493	-12.6193	3.04211
1222	-1.67739	-1.0593	2.18191	1	137	137	-0.266413	-4.49611	36.1263
1223	-2.18299	-1.66557	1.10637	0.973684	11	11	0.709752	-8.73033	3.72105
1224	-3.45074	1.12432	1.93791	1	286	286	-0.0382942	-2.0891	79.8737
1225	-1.84083	0.36604	1.98597	1	2221	2221	0.846856	1.25708	752.447
1226	-1.95635	-1.61089	1.97686	1	26	26	-0.636791	-17.1565	6.12632
1227	-1.66668	-0.993802	2.16845	1	246	246	-0.995656	-3.18502	52.7474
1228	-1.85612	-0.129472	1.57878	1	719	719	0.122903	-0.350445	208.616
1229	-3.39819	1.25018	1.58753	1	437	437	0.0684208	-1.17543	125.195
1230	-3.40052	1.28442	2.12413	1	406	406	0.997696	-0.957725	141.784
1231	-1.7352	-1.92241	2.42426	0.994737	42	42	-1.55583	-12.1362	7.22632
1232	-2.36532	-0.88973	1.77389	1	46	46	-0.516884	-11.3786	11.2947
1233	-2.1716	-1.22095	2.60302	1	27	27	0.398382	-13.9914	8.38947
1234	-2.53464	-0.252038	1.2134	1	147	147	-0.405942	-4.36425	37.3684
1235	-1.47464	-0.618224	1.96088	1	822	822	-1.24962	-0.732174	162.542
1236	-2.78962	1.0794	1.08721	1	1333	1333	-0.152351	0.393621	362.074
1237	-3.9054	-1.86485	1.94192	0	0	0	0	0	0
1238	-2.70575	-1.23444	1.66556	0.936842	8	8	1.01131	-5.3492	2.93158
1239	-2.27719	-0.807107	2.75941	1	58	58	-0.198296	-8.98015	15.5474
1240	-3.82853	-1.79425	2.34215	0.1	1	1	-1.16439	-0.879302	0.1
1241	-2.30796	-1.04487	1.46838	1	42	42	0.686519	-9.78724	13.8737
1242	-1.35542	0.0781549	1.314	1	3493	3493	0.0585244	1.56947	998.305
1243	-1.71961	-0.960086	2.45774	1	353	353	-1.32497	-2.48305	67.9
1244	-1.58246	-0.517299	1.8443	1	541	541	0.0526162	-0.815366	154.411
1245	-3.72948	-0.344376	2.33038	0.863158	9	9	-0.0998656	-3.60374	2.46316
1246	-1.41845	-0.65798	2.87679	1	625	625	0.0797332	-0.575871	179.526
1247	-3.10739	0.250922	1.50853	1	90	90	0.350374	-5.67649	27.5368
1248	-1.77452	0.348638	2.36957	1	2366	2366	0.284267	1.19513	712.105
1249	-2.46498	-1.11816	2.34918	0.984211	22	22	0.194412	-8.27302	6.51579
1250	-3.4238	0.691715	2.21876	1	119	119	-0.251014	-5.06398	31.5
1251	-3.01302	-1.77179	2.53245	0.594737	3	3	-0.260422	-0.621209	0.763158
1252	-3.99132	1.98911	2.27175	1	739	739	0.350544	-0.236567	225.747
1253	-2.70273	-0.732109	2.60578	1	113	113	-0.202619	-5.23742	30.2842
1254	-1.80371	-1.66434	2.75845	1	951	951	0.0149649	0.00669454	269.016
1255	-2.59579	-1.94508	1.41387	0.963158	13	13	-1.064	-9.64796	2.58947
1256	-3.16704	-0.0637187	1.3015	1	44	44	0.298186	-10.085	13.3263
1257	-3.80683	0.68727	1.07924	1	42	42	-0.421341	-11.9136	10.5895
1258	-1.13559	-0.300499	1.90859	1	2591	2591	0.276955	1.29523	778.547
1259	-1.42895	-0.607131	1.11525	1	755	755	-0.355612	-0.452329	194.732
1260	-3.78537	1.41791	1.83662	1	256	256	0.712179	-1.96137	84.5053
1261	-1.75916	-1.03785	2.06979	1	335	335	-1.58399	-2.87973	58.5632
1262	-1.93115	-1.19713	1.72185	1	47	47	0.095525	-9.95389	13.5632
1263	-1.33698	-1.9889	1.3049	1	38	38	0.257545	-11.2993	11.4053
1264	-1.42795	-1.26198	2.74939	1	214	214	-0.922313	-3.55313	46.9316
1265	-1.338	-0.327959	2.89054	1	1415	1415	-0.241464	0.44046	375.868
1266	-3.05139	1.12559	1.02822	1	768	768	0.218668	-0.22379	227.784
1267	-2.99122	0.249418	1.39441	1	107	107	0.0291412	-5.22425	30.3737
1268	-2.81634	0.714036	1.21429	1	558	558	-0.0994604	-0.824618	153.542
1269	-2.80287	-1.18336	1.25041	0.915789	10	10	-0.819803	-7.25957	2.15789
1270	-1.4499	1.86498	1.37939	1	19946	19946	4.63092	3.40282e+38	11824.9
1271	-2.11512	0.486431	1.01907	1	1353	1353	-0.0384767	0.447078	377.868
1272	-1.99983	0.691594	2.68581	1	3261	3261	-0.204241	1.42414	874.426
1273	-1.01668	-0.018921	2.74868	1	6078	6078	0.935199	2.35783	2095
1274	-1.42964	0.959212	2.2796	1	12867	12867	0.8492	3.113	4360.61
1275	-1.3691	-0.677068	2.12882	1	560	560	0.385664	-0.638791	172.405
1276	-3.91078	-0.421276	2.39596	0.615789	4	4	-0.881377	-1.74641	0.784211
1277	-3.77039	0.123361	2.69564	0.989474	13	13	0.342734	-15.059	4.01053
1278	-3.93017	-1.19281	1.08886	0.1	1	1	-1.16439	-0.879302	0.1
1279	-1.80426	-0.200003	1.88373	1	868	868	-0.0558423	-0.142061	241.4
1280	-1.33254	-0.902772	2.39292	1	2047	2047	-0.585044	0.778637	496.489
1281	-3.50802	1.46589	2.66029	1	614	614	0.0108243	-0.628744	173.516
1282	-3.4768	0.849857	2.40213	1	133	133	1.31862	-3.38421	49.4579
1283	-3.30291	0.377466	1.00443	1	82	82	0.0218567	-6.5345	23.2368
1284	-1.68762	1.95159	2.16773	1	19581	19581	3.49117	3.40282e+38	10109.8
1285	-3.35934	0.238135	1.44972	1	53	53	0.51096	-8.44831	16.8316
1286	-1.63065	0.274394	1.59596	1	2621	2621	0.161682	1.27891	767.258
1287	-3.57021	-1.96854	1.05328	0	0	0	0	0	0
1288	-2.57219	1.70935	1.35181	1	7403	7403	1.0889	2.59318	2628.1
1289	-1.90218	1.88017	1.05505	1	17780	17780	2.0895	3.66469	7506.45
1290	-2.09244	0.840334	1.98534	1	3951	3951	0.538347	1.8181	1256.56
1291	-1.46874	-0.846861	2.59683	1	2344	2344	0.268364	1.18057	702.979
1292	-1.85264	-0.0966772	1.86786	1	691	691	0.251071	-0.365672	206.458
1293	-1.09753	-0.264004	2.72502	1	3310	3310	0.193638	1.54486	976.053
1294	-2.03463	1.07648	2.97618	1	5072	5072	0.815615	2.14363	1707.53
1295	-1.20567	1.4404	1.29375	1	19697	19697	3.69845	3.40282e+38	10443.9
1296	-2.09198	1.96392	2.47938	1	17182	17182	2.06183	3.6256	7222.07
1297	-3.09071	0.855721	2.94475	1	364	364	-0.179612	-1.64133	98.1842
1298	-1.76534	-1.56786	2.55925	1	412	412	-1.81728	-2.57244	65.5895
1299	-2.36991	1.16344	2.85454	1	3455	3455	0.139614	1.57813	1006.27
1300	-1.33985	0.115441	1.31035	1	4948	4948	0.614578	2.07438	1598.96
1301	-1.20067	-1.33383	1.65813	1	478	478	-1.24392	-1.71753	94.6263
1302	-1.5042	-1.26031	2.91916	1	2194	2194	-0.0434067	1.02272	612.021
1303	-1.35765	-0.745618	2.32696	1	815	815	-1.08106	-0.657114	170.405
1304	-3.43265	-0.461453	1.12826	0.8	5	5	0.619608	-5.46873	1.69474
1305	-2.57013	-1.96977	2.57703	1	62	62	-1.72049	-12.349	10.0632
1306	-1.68027	1.62028	2.62464	1	17169	17169	1.93955	3.60486	7075.63
1307	-2.04298	0.783879	1.65212	1	3066	3066	0.751657	1.59189	1019.06
1308	-1.0767	1.21267	2.94372	1	19042	19042	3.189	3.89685	9445.17
1309	-1.59458	1.33311	2.94506	1	15565	15565	1.6982	3.4648	6162.34
1310	-2.23198	-0.579778	1.47793	1	150	150	0.494819	-3.525	47.3368
1311	-3.70673	1.85928	2.91274	1	659	659	0.467575	-0.365298	206.511
1312	-2.33591	1.49821	2.46209	1	6527	6527	0.262174	2.28545	1954.7
1313	-3.03475	-1.0748	2.12132	0.968421	8	8	-0.0270751	-13.1362	2.23684
1314	-1.6366	-0.591973	2.92249	1	328	328	0.156175	-1.6894	95.9158
1315	-2.42959	-0.0168585	2.71881	1	284	284	-0.296533	-2.25789	74.3526
1316	-2.32138	0.418104	2.28364	1	852	852	-0.375506	-0.282531	218.616
1317	-3.10628	0.794633	1.46549	1	305	305	0.312233	-1.7673	92.4105
1318	-1.51765	-1.24169	2.49116	1	109	109	-0.24853	-5.45487	28.8684
1319	-1.02265	0.228861	1.42517	1	8714	8714	0.110622	2.55012	2520.95
1320	-1.22261	-0.158755	2.38218	1	2618	2618	0.650533	1.39593	852.384
1321	-2.24424	1.32109	1.23006	1	6461	6461	0.184281	2.25637	1901.13
1322	-3.81789	-0.530656	1.31997	0.605263	4	4	-0.219205	0.0868514	1.04211
1323	-3.5004	-0.904512	1.71319	0.842105	5	5	0.50534	-1.81948	1.64211
1324	-1.65584	-1.80245	1.70436	1	83	83	-1.73018	-9.98851	13.5
1325	-2.77815	-0.403374	1.68422	1	47	47	-0.344591	-10.8194	12.1105
1326	-2.59408	-0.917063	2.26131	0.994737	22	22	-1.02178	-16.7741	4.54737
1327	-3.70936	0.921541	2.34554	1	107	107	0.714044	-4.57745	35.3947
1328	-1.45626	0.375643	1.72696	1	4045	4045	0.407792	1.81333	1250.98
1329	-2.39329	0.342124	1.40589	1	669	669	0.224173	-0.422428	198.674
1330	-1.61589	0.369722	2.89145	1	2267	2267	0.999347	1.31331	791.263
1331	-2.48026	1.33436	1.97068	1	2243	2243	0.151647	1.10055	655.095
1332	-2.43531	-0.100625	1.72359	1	200	200	-0.14811	-3.0947	54.3632
1333	-3.31438	-0.0712034	1.50605	1	31	31	-0.447645	-14.7607	7.74211
1334	-3.55439	-1.61128	1.44355	0	0	0	0	0	0
1335	-2.62511	0.117994	2.71552	1	221	221	0.370267	-2.48523	67.8421
1336	-2.70287	0.270227	1.44162	1	219	219	0.214186	-2.59971	64.9105
1337	-2.76149	0.0920187	1.59209	1	150	150	-0.219559	-4.1048	40.0368
1338	-1.47012	1.50934	1.09098	1	18646	18646	2.71009	3.80794	8649.11
1339	-2.76742	1.43965	1.43122	1	2538	2538	0.548126	1.33781	808.874
1340	-1.81131	0.133903	2.75022	1	1532	1532	0.847485	0.831301	519.126
1341	-1.66259	-1.42691	2.98031	1	351	351	-1.73902	-2.92202	57.6947
1342	-1.92234	1.1837	1.62952	1	9637	9637	0.882101	2.82379	3287.29
1343	-3.5094	0.719759	1.99731	1	112	112	0.303299	-4.75355	33.8947
1344	-2.81087	-1.72644	1.92218	0.7	3	3	0.155171	-1.40123	0.894737
1345	-2.0548	0.501706	1.6119	1	1791	1791	0.328264	0.886949	544.353
1346	-2.25427	1.31327	1.70686	1	5582	5582	0.061703	2.07277	1596.53
1347	-2.37807	-1.56098	1.31676	1	103	103	-1.62624	-8.1791	17.5474
1348	-2.07151	-0.296607	1.28707	1	300	300	-0.12128	-2.02626	82.1
1349	-3.72889	-1.28872	2.86744	0.931579	12	12	-0.646053	-9.1023	2.77368
1350	-1.80614	-1.39033	2.90349	1	78	78	-0.974069	-8.48325	16.7421
1351	-2.30136	0.68248	2.07469	1	1751	1751	0.624858	0.934667	567.111
1352	-3.53199	-1.13131	1.11486	0	0	0	0	0	0
1353	-2.38381	-1.57658	2.14237	0.984211	12	12	0.566036	-15.3094	3.91579
1354	-3.12243	-0.202961	2.2712	1	31	31	0.181668	-13.1983	9.14211
1355	-2.84166	1.24934	2.51767	1	1494	1494	-0.539693	0.410233	366.895
1356	-1.79513	-1.35062	1.42358	1	269	269	-1.67218	-3.66522	45.3737
1357	-1.58589	1.31215	2.71807	1	15636	15636	1.36271	3.40996	5838.18
1358	-1.90446	-1.02433	2.18194	1	88	88	-0.756974	-7.31211	20.2211
1359	-3.35355	-1.19962	1.02146	0.647368	2	2	0.873187	-0.590579	0.773684
1360	-3.25909	1.61668	2.81009	1	1656	1656	0.709428	0.889973	545.763
1361	-2.14119	-0.615816	2.76799	1	400	400	0.389767	-1.20339	123.274
1362	-1.31207	1.92477	2.75716	1	19694	19694	3.97125	3.40282e+38	10803.1
1363	-2.93837	-1.57727	2.74451	1	32	32	-0.991501	-16.1407	6.74737
1364	-3.95642	0.831309	2.95049	1	62	62	1.31023	-6.56124	23.1211
1365	-2.34008	-0.651008	1.29055	1	65	65	-0.552088	-8.85657	15.8316
1366	-3.72738	-1.38697	2.26738	0.631579	4	4	-0.800294	-2.90541	0.815789
1367	-3.29622	-1.09945	1.81706	0.657895	5	5	-0.785895	-2.12011	1.04737
1368	-3.98031	0.617637	2.01507	0.989474	15	15	0.522175	-13.192	4.82632
1369	-2.10755	0.61261	2.72541	1	2104	2104	-0.155424	0.942752	571.074
1370	-3.79492	0.01585	2.65892	0.9	8	8	0.185321	-5.09239	2.37895
1371	-2.92647	0.0871466	2.10648	1	99	99	-0.19365	-5.84547	26.5895
1372	-2.08098	-0.249153	2.16359	1	334	334	0.233516	-1.61594	99.4158
1373	-2.39008	1.14236	2.67688	1	1639	1639	1.10486	0.968163	583.737
1374	-1.24236	-0.997464	1.22413	1	403	403	0.0667873	-1.32498	115.411
1375	-2.51726	-1.07663	1.06655	1	27	27	0.710609	-13.3406	9
1376	-3.17619	-0.501535	2.04883	0.994737	20	20	-0.99368	-17.7537	4.16316
1377	-1.27351	-0.598134	1.92257	1	1633	1633	-1.04505	0.334585	345.553
1378	-1.65341	0.150127	2.94302	1	2114	2114	-0.198603	0.935776	567.653
1379	-2.91175	-0.561262	1.50486	1	24	24	-0.418231	-17.324	6.03158
1380	-2.88346	-0.467785	1.24505	1	32	32	-0.754974	-15.3555	7.28947
1381	-2.54036	-1.28926	2.94658	1	66	66	-1.72208	-11.8098	10.7211
1382	-1.50492	-1.46832	1.2128	1	90	90	0.234725	-5.80324	26.8211
1383	-2.08949	0.0489508	2.21415	1	597	597	-0.109294	-0.719058	163.879
1384	-1.12518	-0.832282	1.77266	1	715	715	-0.279463	-0.504699	188.079
1385	-2.30231	-1.22578	1.77448	1	38	38	-0.595723	-13.2349	9.10526
1386	-2.25898	-1.20503	1.82823	1	210	210	-1.1838	-3.90464	42.3263
1387	-1.80173	0.643025	2.89185	1	2838	2838	0.472937	1.44378	890.137
1388	-1.10146	1.91659	1.77569	1	20000	20000	5.78532	3.40282e+38	13407.3
1389	-3.50937	0.0841436	2.33506	0.984211	18	18	-0.409762	-13.836	4.52105
1390	-3.15267	-1.07006	2.045	0.731579	3	3	0.670507	0.121944	1.05789
1391	-2.16659	-0.929078	1.78991	1	59	59	-0.349547	-9.13853	15.1947
1392	-3.47511	1.09108	2.89728	1	262	262	0.303973	-2.10744	79.2421
1393	-2.84443	0.3667	1.85251	1	241	241	0.455815	-2.22517	75.3737
1394	-2.83239	-1.42649	1.1974	0.757895	5	5	-0.671626	-4.58902	1.1
1395	-3.21636	-0.190989	1.32833	0.994737	19	19	0.0388412	-14.9331	5.41053
1396	-3.60626	1.49567	1.22868	1	526	526	-0.29681	-1.00728	137.737
1397	-1.40506	-0.642624	2.12664	1	704	704	0.454764	-0.273456	220
1398	-2.27892	0.454238	2.23452	1	1234	1234	0.0549022	0.359406	352.384
1399	-3.94405	1.18227	1.30817	1	110	110	-0.167048	-5.31781	29.7474
1400	-1.92063	-0.917061	2.26811	1	116	116	0.216612	-4.69089	34.4158
1401	-3.70114	-0.0253061	2.60403	0.973684	10	10	0.244518	-12.7016	3.01579
1402	-1.88291	0.0557053	1.09841	1	1153	1153	-0.405442	0.123334	293.547
1403	-1.33077	-0.687262	2.43825	1	713	713	-0.307413	-0.519864	186.211
1404	-3.8432	1.63576	2.98775	1	244	244	1.40362	-1.77721	91.9789
1405	-1.21607	0.397562	1.04176	1	8707	8707	0.919236	2.72692	2991.78
1406	-1.71376	0.711611	2.50228	1	3527	3527	1.3289	1.8619	1309.06
1407	-1.30231	1.73032	2.17438	1	19789	19789	3.97762	3.40282e+38	10863.6
1408	-1.47876	0.339105	1.42402	1	5135	5135	0.858774	2.16564	1743.62
1409	-2.40034	1.34392	1.82424	1	5189	5189	0.560274	2.11257	1657.91
1410	-2.63592	-1.1784	2.74221	0.984211	28	28	-1.80722	-11.9028	4.23684
1411	-2.08709	1.85571	2.10563	1	15850	15850	2.01716	3.53662	6614.67
1412	-3.77606	1.75743	1.53502	1	727	727	0.381	-0.250371	223.574
1413	-3.11357	-1.11398	1.21187	0.5	3	3	-0.260422	-0.621209	0.763158
1414	-1.56334	-1.80289	2.77523	1	133	133	-1.69823	-6.81364	22.0737
1415	-1.88628	1.86414	1.58716	1	18061	18061	2.44266	3.73582	8053.41
1416	-3.94752	1.37522	1.03728	1	179	179	0.0366051	-3.2942	50.9
1417	-3.04663	1.0208	1.9989	1	343	343	0.707236	-1.36354	113.074
1418	-3.03666	-1.78192	2.32093	0.894737	11	11	-1.48165	-6.7051	1.80526
1419	-1.66735	1.19749	2.31228	1	7445	7445	1.74643	2.72001	2971.8
1420	-3.07624	0.807443	1.02323	1	345	345	-0.0190892	-1.67046	96.8
1421	-2.05208	0.484613	2.09366	1	1880	1880	-0.118974	0.821625	514.879
1422	-2.03891	-0.527193	2.02916	1	192	192	0.187856	-2.97848	56.5684
1423	-3.46288	0.627674	2.91049	1	133	133	0.704582	-3.7787	43.8842
1424	-3.52886	1.26634	2.95434	1	361	361	-0.640433	-1.91901	86.1368
1425	-2.5337	1.01377	1.83701	1	1738	1738	0.0240092	0.769536	492.695
1426	-3.4435	0.262607	1.56772	1	43	43	0.722413	-9.56238	14.3105
1427	-1.62286	-0.0608659	1.53077	1	1336	1336	-0.115615	0.407819	366.189
1428	-1.16246	0.0776465	1.37999	1	4559	4559	0.320793	1.92074	1383.29
1429	-1.54658	0.546645	1.12449	1	5696	5696	0.693236	2.23951	1870.76
1430	-1.36383	-1.19178	1.68123	1	1190	1190	-1.24966	-0.177376	235.389
1431	-2.28071	0.984026	2.80522	1	3682	3682	0.330496	1.69393	1119.6
1432	-3.30995	-1.62075	1.98738	0.915789	12	12	-1.05381	-8.33527	2.38947
1433	-2.90402	-1.31457	1.08507	0.794737	4	4	0.253775	-4.11074	1.22632
1434	-3.60246	-0.0311836	1.91863	0.994737	17	17	-0.597546	-18.1323	4.02632
1435	-3.64621	1.64069	2.1829	1	577	577	0.329218	-0.611526	175.442
1436	-1.98914	-0.749891	2.67685	1	315	315	-1.0569	-2.54523	66.2789
1437	-3.39695	-1.16305	1.50887	0.394737	1	1	0.722614	0.976063	0.394737
